column_x	column_y	correlation	row	column
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Activiteiten_van_een_studentenvereniging	0,746202337	12	11
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	1	12	12
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Afspreken_met_vrienden	0,036733534	13	1
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Muziek_spelen_of_beluisteren	-0,021380364	13	2
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Een_goed_gesprek	0,009109852	13	3
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Sporten	0,006509818	13	4
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Feesten,_uitgaan	0,101537359	13	5
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Boeken_lezen	0,05683603	13	6
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Vrijwilligerswerk_doen	0,154677879	13	7
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Gamen	0,103320728	13	8
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Series_of_films_kijken	0,002755611	13	9
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	In_de_natuur/buiten_zijn	-0,020890131	13	10
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Activiteiten_van_een_studentenvereniging	0,518922196	13	11
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,64162785	13	12
Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	1	13	13
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Afspreken_met_vrienden	0,011723171	14	1
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Muziek_spelen_of_beluisteren	0,011742706	14	2
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Een_goed_gesprek	0,004349815	14	3
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Sporten	-0,038140722	14	4
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Feesten,_uitgaan	-0,016207608	14	5
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Boeken_lezen	-0,014528973	14	6
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Vrijwilligerswerk_doen	0,009650113	14	7
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Gamen	0,004689073	14	8
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Series_of_films_kijken	0,007028979	14	9
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	In_de_natuur/buiten_zijn	0,022372158	14	10
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Activiteiten_van_een_studentenvereniging	0,005737671	14	11
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,026534707	14	12
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,032110038	14	13
Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	1	14	14
Ik_heb_problemen_met_mijn_thuissituatie	Afspreken_met_vrienden	-0,035210686	15	1
Ik_heb_problemen_met_mijn_thuissituatie	Muziek_spelen_of_beluisteren	0,006876724	15	2
Ik_heb_problemen_met_mijn_thuissituatie	Een_goed_gesprek	0,02617987	15	3
Ik_heb_problemen_met_mijn_thuissituatie	Sporten	-0,002895717	15	4
Ik_heb_problemen_met_mijn_thuissituatie	Feesten,_uitgaan	0,00751262	15	5
Ik_heb_problemen_met_mijn_thuissituatie	Boeken_lezen	0,025973293	15	6
Ik_heb_problemen_met_mijn_thuissituatie	Vrijwilligerswerk_doen	0,067782555	15	7
Ik_heb_problemen_met_mijn_thuissituatie	Gamen	-0,009129955	15	8
Ik_heb_problemen_met_mijn_thuissituatie	Series_of_films_kijken	-0,014086983	15	9
Ik_heb_problemen_met_mijn_thuissituatie	In_de_natuur/buiten_zijn	0,008194655	15	10
Ik_heb_problemen_met_mijn_thuissituatie	Activiteiten_van_een_studentenvereniging	0,010879014	15	11
Ik_heb_problemen_met_mijn_thuissituatie	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,027405826	15	12
Ik_heb_problemen_met_mijn_thuissituatie	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,033662977	15	13
Ik_heb_problemen_met_mijn_thuissituatie	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	0,107176769	15	14
Ik_heb_problemen_met_mijn_thuissituatie	Ik_heb_problemen_met_mijn_thuissituatie	1	15	15
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Afspreken_met_vrienden	-0,031152157	16	1
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Muziek_spelen_of_beluisteren	-0,006472636	16	2
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Een_goed_gesprek	0,025283988	16	3
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Sporten	-0,052957642	16	4
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Feesten,_uitgaan	-0,056213595	16	5
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Boeken_lezen	-0,001469616	16	6
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Vrijwilligerswerk_doen	0,02944219	16	7
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Gamen	-0,045436891	16	8
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Series_of_films_kijken	0,005256798	16	9
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	In_de_natuur/buiten_zijn	0,003607954	16	10
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Activiteiten_van_een_studentenvereniging	-0,02186403	16	11
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,007411111	16	12
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,001554425	16	13
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	0,423943075	16	14
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Ik_heb_problemen_met_mijn_thuissituatie	0,18690393	16	15
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	1	16	16
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Afspreken_met_vrienden	-0,077260042	17	1
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Muziek_spelen_of_beluisteren	-0,033465426	17	2
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Een_goed_gesprek	0,009662183	17	3
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Sporten	-0,035665868	17	4
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Feesten,_uitgaan	-0,044281221	17	5
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Boeken_lezen	0,039363711	17	6
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Vrijwilligerswerk_doen	0,073608393	17	7
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Gamen	-0,011064982	17	8
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Series_of_films_kijken	-0,026552282	17	9
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	In_de_natuur/buiten_zijn	0,001589639	17	10
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Activiteiten_van_een_studentenvereniging	0,035219132	17	11
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,058865311	17	12
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,065554895	17	13
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	0,192738501	17	14
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Ik_heb_problemen_met_mijn_thuissituatie	0,24995602	17	15
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	0,48722206	17	16
Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	1	17	17
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Afspreken_met_vrienden	-0,054722552	18	1
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Muziek_spelen_of_beluisteren	0,023687108	18	2
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Een_goed_gesprek	-0,011980056	18	3
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Sporten	-0,059985841	18	4
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Feesten,_uitgaan	-0,017984982	18	5
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Boeken_lezen	0,030145931	18	6
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Vrijwilligerswerk_doen	0,045050567	18	7
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Gamen	0,050860404	18	8
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Series_of_films_kijken	-0,000286647	18	9
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	In_de_natuur/buiten_zijn	-0,044042238	18	10
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Activiteiten_van_een_studentenvereniging	0,051887877	18	11
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,068205285	18	12
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,061099763	18	13
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	0,0421677	18	14
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Ik_heb_problemen_met_mijn_thuissituatie	0,062385997	18	15
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	0,071277694	18	16
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	0,123934284	18	17
Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	1	18	18
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Afspreken_met_vrienden	-0,080513429	19	1
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Muziek_spelen_of_beluisteren	-0,008454135	19	2
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Een_goed_gesprek	-0,023374879	19	3
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Sporten	-0,033087508	19	4
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Feesten,_uitgaan	-0,017395845	19	5
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Boeken_lezen	0,037493501	19	6
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Vrijwilligerswerk_doen	0,073757009	19	7
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Gamen	0,052963276	19	8
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Series_of_films_kijken	0,013961345	19	9
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	In_de_natuur/buiten_zijn	-0,026508731	19	10
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Activiteiten_van_een_studentenvereniging	0,041290566	19	11
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,05247834	19	12
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,052402573	19	13
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	0,041018216	19	14
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Ik_heb_problemen_met_mijn_thuissituatie	0,152564036	19	15
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	0,080574797	19	16
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	0,146390906	19	17
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	0,257684828	19	18
Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	1	19	19
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Afspreken_met_vrienden	0,004571864	20	1
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Muziek_spelen_of_beluisteren	0,02047436	20	2
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Een_goed_gesprek	0,041761399	20	3
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Sporten	0,023018943	20	4
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Feesten,_uitgaan	0,038915579	20	5
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Boeken_lezen	0,056002699	20	6
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Vrijwilligerswerk_doen	0,086066248	20	7
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Gamen	0,024798544	20	8
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Series_of_films_kijken	0,034082349	20	9
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	In_de_natuur/buiten_zijn	0,039232402	20	10
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Activiteiten_van_een_studentenvereniging	0,030819436	20	11
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,035173507	20	12
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,049194459	20	13
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	0,023611567	20	14
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Ik_heb_problemen_met_mijn_thuissituatie	0,158453923	20	15
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	0,039429875	20	16
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	0,094860138	20	17
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Ik_heb_het_moeilijk_met_mijn_geaardheid_of_genderidentiteit	0,069516723	20	18
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Ik_heb_soms_het_gevoel_dat_ik_discriminerend_behandeld_wordt	0,119994532	20	19
Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	Ik_moest_afscheid_nemen_van_iemand_die_mij_dierbaar_was	1	20	20
Ik_heb_financiële_problemen	Afspreken_met_vrienden	-0,062876971	21	1
Ik_heb_financiële_problemen	Muziek_spelen_of_beluisteren	-0,033796595	21	2
Ik_heb_financiële_problemen	Een_goed_gesprek	-0,028869374	21	3
Ik_heb_financiële_problemen	Sporten	-0,042981441	21	4
Ik_heb_financiële_problemen	Feesten,_uitgaan	0,016042251	21	5
Ik_heb_financiële_problemen	Boeken_lezen	0,032591412	21	6
Ik_heb_financiële_problemen	Vrijwilligerswerk_doen	0,027040152	21	7
Ik_heb_financiële_problemen	Gamen	0,053554137	21	8
Ik_heb_financiële_problemen	Series_of_films_kijken	-0,003840347	21	9
Ik_heb_financiële_problemen	In_de_natuur/buiten_zijn	0,030108661	21	10
Ik_heb_financiële_problemen	Activiteiten_van_een_studentenvereniging	0,021700549	21	11
Ik_heb_financiële_problemen	Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	0,041046005	21	12
Ik_heb_financiële_problemen	Het_uitoefenen_van_mijn_bestuursfunctie_in_een_studentenvereniging	0,063289924	21	13
Ik_heb_financiële_problemen	Ik_heb_het_moeilijk_om_mijn_taken_voor_de_universiteit_af_te_werken	0,100821599	21	14
Ik_heb_financiële_problemen	Ik_heb_problemen_met_mijn_thuissituatie	0,336219295	21	15
Ik_heb_financiële_problemen	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_de_verwachtingen_die_men_van_me_heeft_op_academisch_vlak	0,143401541	21	16
Ik_heb_financiële_problemen	Ik_heb_het_gevoel_dat_ik_niet_kan_voldoen_aan_andere_verwachtingen_die_aan_mij_gesteld_worden_(job,_vereniging,_relatie,_...)	0,202463817	21	17
